"Story","Title","Result","Date","Stability","Duration (s)"
"Registrar los datos personales",": El usuario Elvis desea actualizar lo informaciòn personal correctamente","SUCCESS","2020-08-24T08:23:45.6312848-05:00[America/Mexico_City]","0.0","45.66"
"Registrar los datos personales","El usuario Elvis desea actualizar la informaciòn sin la imagen","FAILURE","2020-08-24T08:24:41.3638734-05:00[America/Mexico_City]","0.0","60.07"
"Registrar los datos personales","El usuario Elvis desea actualizar la informaciòn sin el campo nombre","SUCCESS","2020-08-24T08:26:40.545339-05:00[America/Mexico_City]","0.0","72.43"
"Registrar los datos personales","El usuario Elvis desea actualizar la informaciòn sin el campo Apellido","SUCCESS","2020-08-24T08:27:58.4941464-05:00[America/Mexico_City]","0.0","74.5"
"Registrar los datos personales","El usuario Elvis desea actualizar la informaciòn sin el campo Fecha de nacimiento","FAILURE","2020-08-24T08:29:19.1129936-05:00[America/Mexico_City]","0.0","101.96"
"Login","ingresar al sistema con un usuario incorrecto","SUCCESS","2020-08-24T08:31:49.3788455-05:00[America/Mexico_City]","0.0","35.77"
"Login","ingresar al sistema por primera vez","SUCCESS","2020-08-24T08:32:25.9226172-05:00[America/Mexico_City]","0.0","14.23"
"Solicitar una orden","El usuario Elvis desea realizar una orden sin cupòn","SUCCESS","2020-08-24T08:32:42.4530643-05:00[America/Mexico_City]","0.0","22.73"
"Solicitar una orden","El usuario Elvis desea realizar una orden usando el cupòn","SUCCESS","2020-08-24T08:33:05.3541617-05:00[America/Mexico_City]","0.0","26.74"
"Solicitar una orden","El usuario Elvis desea realizar una orden usando el cupòn 3 veces","SUCCESS","2020-08-24T08:33:32.5939409-05:00[America/Mexico_City]","0.0","71.27"
